,Name,Alcohol,Size,Price,Price_per_liter,Alcohol_per_euro_per_liter
0,Ihanan kamalan elämän hurmio ja turmio 2020 hanapakkaus,14.0,3.0,29.99,9.997,1.4
0,Lounge Wine Merlot 2021 kartonkitölkki,11.5,1.0,8.50,8.5,1.353
0,Katse Felidae Organic 2021 muovipullo,13.5,1.0,9.98,9.98,1.353
0,Kuronen Organic Red 2020 muovipullo,13.5,1.0,9.99,9.99,1.351
0,Castillo de Anna Appasanto Tempranillo hanapakkaus,13.5,3.0,29.99,9.997,1.35
0,Rosie Rosé 2024 kartonkitölkki,14.0,1.0,10.48,10.48,1.336
0,Ícaro Tinto 2022 hanapakkaus,13.5,3.0,30.99,10.33,1.307
0,Castillo de Gredos Tinto hanapakkaus,13.0,3.0,29.88,9.96,1.305
0,Lobetia Tempranillo Shiraz 2021 kartonkitölkki,13.5,1.0,10.38,10.38,1.301
0,Big Mouth Sassy Red hanapakkaus,13.0,3.0,29.98,9.993,1.301
0,Liisa Muscat Sauvignon Blanc kartonkitölkki,13.0,1.0,9.99,9.99,1.301
0,Castillo de Gredos Tinto Organic kartonkitölkki,13.0,1.0,9.99,9.99,1.301
0,Barrelito Red Blend 2023 hanapakkaus,13.0,3.0,29.99,9.997,1.3
0,Piqueras Syrah Monastrell 2023 hanapakkaus,14.5,3.0,33.89,11.297,1.284
0,Casa Santos Lima Red Blend Portugal 2022 hanapakkaus,13.5,3.0,31.89,10.63,1.27
0,Cerro Tinto kartonkitölkki,12.5,1.0,9.89,9.89,1.264
0,Curiosity Tempranillo 2022 hanapakkaus,13.0,3.0,30.99,10.33,1.258
0,Castaño Ecologico Monastrell 2023 hanapakkaus,14.0,3.0,33.49,11.163,1.254
0,Rentunruusu Organic Rosé 2022 viinipussi,12.5,1.5,14.99,9.993,1.251
0,Pirkko Sauvignon Blanc 2023 kartonkitölkki,12.5,1.0,9.99,9.99,1.251
0,Zafaria Winemakers Blend Chenin Blanc 2024 kartonkitölkki,12.5,1.0,9.99,9.99,1.251
0,Gustoso Vino Rosso Organico 2019 hanapakkaus,12.5,3.0,29.99,9.997,1.25
0,Tapio Viina muovipullo,39.0,0.7,21.98,31.4,1.242
0,Espiritu de Chile Viajero Shiraz Cabernet 2024 kartonkitölkki,13.0,1.0,10.48,10.48,1.24
0,Gosa Organic Monastrell 2021 hanapakkaus,14.0,3.0,33.89,11.297,1.239
0,Barricas Reserva 2022,14.0,3.0,33.89,11.297,1.239
0,Gato Negro Cabernet Sauvignon Shiraz 2024 kartonkitölkki,13.0,1.0,10.50,10.5,1.238
0,Gato Negro Chardonnay 2024 hanapakkaus,13.0,3.0,31.49,10.497,1.238
0,Gato Negro Cabernet Sauvignon 2024 hanapakkaus,13.0,3.0,31.49,10.497,1.238
0,Casa Nostra Appassimento hanapakkaus,13.0,3.0,31.49,10.497,1.238
0,Panic Button hanapakkaus,14.0,3.0,33.97,11.323,1.236
0,Pop Up Season Organic Red 2021 muovipullo,13.5,1.0,10.96,10.96,1.232
0,Smooth Escape Shiraz Cabernet 2022 kartonkitölkki,13.5,1.0,10.98,10.98,1.23
0,Quinta da Espiga Reserva 2019 muovipullo,13.5,1.0,10.98,10.98,1.23
0,Pirkko Shiraz 2022 kartonkitölkki,13.5,1.0,10.98,10.98,1.23
0,Galodoro Winemaker's Red hanapakkaus,12.5,3.0,30.48,10.16,1.23
0,Aussie Kangarouge A Rich Shiraz kartonkitölkki,13.5,1.0,10.98,10.98,1.23
0,Katse La Mirada Organic Tempranillo Syrah 2023 hanapakkaus,13.5,3.0,32.98,10.993,1.228
0,Chill Out Cabernet Sauvignon Australia 2023 hanapakkaus,13.5,3.0,32.98,10.993,1.228
0,2u Duas Uvas 2022 hanapakkaus,13.5,3.0,32.98,10.993,1.228
0,Viña Albali Organic Tempranillo 2024 hanapakkaus,13.0,3.0,31.79,10.597,1.227
0,Pukki Glögi Luomu muovipullo,15.0,0.75,9.19,12.253,1.224
0,Valdemar muovipullo,15.0,0.75,9.19,12.253,1.224
0,Doris muovipullo,15.0,0.75,9.19,12.253,1.224
0,Boca Mar Tinto 2020,14.5,0.75,8.89,11.853,1.223
0,Gambina muovipullo,21.0,0.75,12.99,17.32,1.212
0,Jouluglögi Vadelma,15.0,0.75,9.29,12.387,1.211
0,Scarlett Dark 2023 hanapakkaus,14.0,3.0,34.70,11.567,1.21
0,Viña Maipo Sauvignon Blanc 2023 hanapakkaus,12.5,3.0,30.99,10.33,1.21
0,Maze Shiraz Cabernet Sauvignon 2022 hanapakkaus,14.5,3.0,35.98,11.993,1.209
0,Laua Viin muovipullo,40.0,0.5,16.55,33.1,1.208
0,Woodie Rosé 2024 kartonkitölkki,13.0,1.0,10.79,10.79,1.205
0,Castillo de Gredos Fresh & Fruity white wine hanapakkaus,12.0,3.0,29.88,9.96,1.205
0,Oranjeboom Premium Strong Beer tölkki,12.0,0.5,4.98,9.96,1.205
0,Obolon Extra Strong tölkki,12.0,0.5,4.98,9.96,1.205
0,Vite Mia Vino Biologico Rosso 2020 hanapakkaus,13.5,3.0,33.68,11.227,1.202
0,Pearly Bay Dry White kartonkitölkki,12.0,1.0,9.98,9.98,1.202
0,Castillo de Gredos Blanco Organic kartonkitölkki,12.0,1.0,9.99,9.99,1.201
0,U/B Botane Rosé 2023 kartonkitölkki,12.0,1.0,9.99,9.99,1.201
0,Lindeman's Shiraz Cabernet 2023 hanapakkaus,14.0,3.0,34.98,11.66,1.201
0,Liisa Bobal Rosé 2023 kartonkitölkki,12.0,1.0,9.99,9.99,1.201
0,U by Undurraga Cabernet Sauvignon Merlot Syrah 2022 hanapakkaus,13.0,3.0,32.50,10.833,1.2
0,Petó Organic 2023 hanapakkaus,13.0,3.0,32.49,10.83,1.2
0,Viña Maipo Pinot Grigio 2024,12.0,3.0,29.99,9.997,1.2
0,Essence Organic Rosé 2023 hanapakkaus,12.0,3.0,29.99,9.997,1.2
0,Viña Maipo Carmenere 2023,12.0,3.0,29.99,9.997,1.2
